Date,Close
2023-02-02,121.0
2023-02-03,121.0
2023-02-06,119.25
2023-02-07,119.0
2023-02-08,120.85
2023-02-09,120.9
2023-02-10,121.0
2023-02-13,120.75
2023-02-14,121.65
2023-02-15,118.85
2023-02-16,120.3
2023-02-17,118.75
2023-02-20,119.0
2023-02-21,118.95
2023-02-22,117.65
2023-02-23,119.4
2023-02-24,118.8
2023-03-01,119.35
2023-03-02,119.25
2023-03-03,119.35
2023-03-06,120.5
2023-03-07,121.3
2023-03-08,120.3
2023-03-09,120.2
2023-03-10,118.3
2023-03-13,118.8
2023-03-14,117.5
2023-03-15,117.6
2023-03-16,117.05
2023-03-17,118.95
2023-03-20,118.1
2023-03-21,118.65
2023-03-22,120.9
2023-03-23,121.85
2023-03-24,122.2
2023-03-27,121.45
2023-03-28,120.4
2023-03-29,120.6
2023-03-30,121.2
2023-03-31,121.6
2023-04-06,121.0
2023-04-07,121.0
2023-04-10,121.0
2023-04-11,120.85
2023-04-12,120.55
2023-04-13,119.5
2023-04-14,120.65
2023-04-17,120.35
2023-04-18,119.95
2023-04-19,119.05
2023-04-20,118.9
2023-04-21,118.6
2023-04-24,118.15
2023-04-25,116.6
2023-04-26,116.1
2023-04-27,116.0
2023-04-28,117.4
2023-05-02,117.7
2023-05-03,117.2
2023-05-04,117.5
2023-05-05,117.8
2023-05-08,118.55
2023-05-09,118.9
2023-05-10,117.8
2023-05-11,117.55
2023-05-12,117.2
2023-05-15,117.2
2023-05-16,118.6
2023-05-17,120.55
2023-05-18,122.15
2023-05-19,122.5
2023-05-22,122.3
2023-05-23,122.2
2023-05-24,121.6
2023-05-25,123.05
2023-05-26,125.95
2023-05-29,126.75
2023-05-30,126.75
2023-05-31,126.15
2023-06-01,125.15
2023-06-02,126.75
2023-06-05,126.35
2023-06-06,126.7
2023-06-07,128.1
2023-06-08,126.85
2023-06-09,127.8
2023-06-12,129.0
2023-06-13,131.55
2023-06-14,131.5
2023-06-15,131.9
2023-06-16,131.55
2023-06-19,131.25
2023-06-20,130.55
2023-06-21,130.55
2023-06-26,129.75
2023-06-27,128.9
2023-06-28,129.1
2023-06-29,129.05
2023-06-30,129.1
2023-07-03,130.7
2023-07-04,131.0
2023-07-05,130.8
2023-07-06,127.9
2023-07-07,127.7
2023-07-10,127.45
2023-07-11,129.2
2023-07-12,129.45
2023-07-13,130.9
2023-07-14,132.25
2023-07-17,132.0
2023-07-18,129.85
2023-07-19,128.75
2023-07-20,129.35
2023-07-21,127.2
2023-07-24,127.25
2023-07-25,128.85
2023-07-26,128.5
2023-07-27,129.5
2023-07-28,129.5
2023-07-31,128.8
2023-08-01,129.45
2023-08-02,127.85
2023-08-04,127.25
2023-08-07,128.5
2023-08-08,127.0
2023-08-09,127.2
2023-08-10,126.4
2023-08-11,126.3
2023-08-14,124.5
2023-08-15,124.7
2023-08-16,124.05
2023-08-17,124.6
2023-08-18,123.85
2023-08-21,123.0
2023-08-22,124.0
2023-08-23,124.85
2023-08-24,127.0
2023-08-25,124.55
2023-08-28,125.35
2023-08-29,126.05
2023-08-30,126.6
2023-08-31,125.7
2023-09-01,125.9
2023-09-04,126.75
2023-09-05,126.45
2023-09-06,126.0
2023-09-07,124.85
2023-09-08,124.3
2023-09-11,123.8
2023-09-12,125.05
2023-09-13,125.2
2023-09-14,126.95
2023-09-15,127.35
2023-09-18,126.0
2023-09-19,125.45
2023-09-20,124.75
2023-09-21,122.75
2023-09-22,122.65
2023-09-25,123.55
2023-09-26,122.1
2023-09-27,122.15
2023-09-28,122.65
2023-10-02,124.25
2023-10-03,123.5
2023-10-04,121.9
2023-10-05,123.65
2023-10-06,124.1
2023-10-11,126.25
2023-10-12,127.3
2023-10-13,126.95
2023-10-16,126.25
2023-10-17,126.55
2023-10-18,124.8
2023-10-19,124.85
2023-10-20,125.4
2023-10-23,123.85
2023-10-24,123.95
2023-10-25,124.2
2023-10-26,121.75
2023-10-27,122.3
2023-10-30,122.0
2023-10-31,121.15
2023-11-01,121.75
2023-11-02,124.5
2023-11-03,125.45
2023-11-06,126.55
2023-11-07,126.5
2023-11-08,127.2
2023-11-09,127.25
2023-11-10,126.75
2023-11-13,128.7
2023-11-14,129.0
2023-11-15,130.55
2023-11-16,130.6
2023-11-17,131.0
2023-11-20,130.95
2023-11-21,132.55
2023-11-22,131.35
2023-11-23,131.3
2023-11-24,131.2
2023-11-27,130.35
2023-11-28,131.25
2023-11-29,131.15
2023-11-30,131.35
2023-12-01,131.8
2023-12-04,131.3
2023-12-05,130.35
2023-12-06,130.8
2023-12-07,130.0
2023-12-08,131.05
2023-12-11,131.2
2023-12-12,131.5
2023-12-13,131.55
2023-12-14,133.15
2023-12-15,133.7
2023-12-18,133.9
2023-12-19,133.4
2023-12-20,133.75
2023-12-21,132.6
2023-12-22,132.95
2023-12-25,133.5
2023-12-26,134.25
2023-12-27,135.75
2023-12-28,135.75
2023-12-29,135.45
2024-01-02,134.9
2024-01-03,132.55
2024-01-04,132.5
2024-01-05,132.15
2024-01-08,132.75
2024-01-09,133.0
2024-01-10,132.3
2024-01-11,132.85
2024-01-12,132.65
2024-01-15,133.0
2024-01-16,131.65
2024-01-17,127.45
2024-01-18,128.3
2024-01-19,132.9
2024-01-22,133.8
2024-01-23,134.05
2024-01-24,134.0
2024-01-25,135.65
2024-01-26,135.65
2024-01-29,136.5
2024-01-30,136.15
2024-01-31,134.35
2024-02-01,134.35
2024-02-02,135.1
2024-02-05,135.95
2024-02-15,142.35
2024-02-16,141.3
2024-02-19,141.1
2024-02-20,141.65
2024-02-21,141.2
2024-02-22,142.8
2024-02-23,143.75
2024-02-26,143.95
2024-02-27,143.35
2024-02-29,143.3
2024-03-01,142.8
2024-03-04,146.95
2024-03-05,148.15
2024-03-06,148.85
2024-03-07,152.3
2024-03-08,154.45
2024-03-11,152.9
2024-03-12,154.5
2024-03-13,155.25
2024-03-14,155.1
2024-03-15,153.0
2024-03-18,154.4
2024-03-19,154.05
2024-03-20,153.2
2024-03-21,157.4
2024-03-22,157.2
2024-03-25,157.5
2024-03-26,157.6
2024-03-27,157.65
2024-03-28,156.9
2024-03-29,157.9
2024-04-01,157.4
2024-04-02,159.65
2024-04-03,158.55
2024-04-08,159.45
2024-04-09,163.25
2024-04-10,163.0
2024-04-11,162.5
2024-04-12,162.1
2024-04-15,160.0
2024-04-16,155.65
2024-04-17,157.4
2024-04-18,158.95
2024-04-19,150.9
2024-04-22,150.45
2024-04-23,151.9
2024-04-24,156.35
2024-04-25,153.5
2024-04-26,156.0
2024-04-29,158.8
2024-04-30,158.25
2024-05-02,156.15
2024-05-03,156.95
2024-05-06,159.2
2024-05-07,160.1
2024-05-08,160.7
2024-05-09,160.5
2024-05-10,161.65
2024-05-13,163.3
2024-05-14,164.4
2024-05-15,166.65
2024-05-16,167.45
2024-05-17,167.25
2024-05-20,167.2
